table_file,column_name,example_value,description
categories.csv,category_id,1,
categories.csv,category_name,Beverages,
products.csv,product_id,1,
products.csv,product_name,Energy Drink 16oz,
products.csv,category_id,1,
products.csv,cost,1.8,
products.csv,retail_price,3.49,
products.csv,supplier_name,Cascade Beverage Supply,
products.csv,gross_margin_pct,0.484,
customer_segments.csv,segment_id,1,
customer_segments.csv,segment_name,Value Shopper,
customer_segments.csv,segment_description,Price-sensitive customers buying household and pantry items,
customers.csv,customer_id,1,
customers.csv,segment_id,2,
customers.csv,signup_date,2025-05-01,
customers.csv,region,East,
calendar_factors.csv,calendar_date,2023-01-01,
calendar_factors.csv,year,2023,
calendar_factors.csv,month,1,
calendar_factors.csv,day_of_week,Sunday,
calendar_factors.csv,season,Winter,
calendar_factors.csv,is_weekend,1,
calendar_factors.csv,is_holiday,1,
calendar_factors.csv,temperature,45,
sales.csv,sale_id,1,
sales.csv,sale_date,2023-01-01,
sales.csv,customer_id,485,
sales.csv,product_id,2,
sales.csv,quantity_sold,49,
sales.csv,revenue,342.51,
sales.csv,gross_profit,156.31,
sales.csv,payment_method,Card,
inventory.csv,inventory_id,1,
inventory.csv,inventory_date,2023-01-01,
inventory.csv,product_id,1,
inventory.csv,stock_level,258,
inventory.csv,reorder_threshold,120,
inventory.csv,units_ordered,0,
daily_marketplace_summary.csv,sale_date,2023-01-01 00:00:00,
daily_marketplace_summary.csv,daily_revenue,5911.79,
daily_marketplace_summary.csv,daily_gross_profit,3272.54,
daily_marketplace_summary.csv,total_units_sold,1221,
daily_marketplace_summary.csv,transaction_lines,21,
daily_marketplace_summary.csv,year,2023,
daily_marketplace_summary.csv,month,1,
daily_marketplace_summary.csv,day_of_week,Sunday,
daily_marketplace_summary.csv,season,Winter,
daily_marketplace_summary.csv,is_weekend,1,
daily_marketplace_summary.csv,is_holiday,1,
daily_marketplace_summary.csv,temperature,45,
competitor_benchmarks.csv,competitor_id,1,
competitor_benchmarks.csv,competitor_name,Marketplace A,
competitor_benchmarks.csv,estimated_annual_revenue,1650000,
competitor_benchmarks.csv,avg_gross_margin_pct,0.36,
competitor_benchmarks.csv,top_category,Beverages,
competitor_benchmarks.csv,market_position,Value focused,
search_trends.csv,search_id,1,
search_trends.csv,search_date,2023-01-01,
search_trends.csv,search_term,energy drinks,
search_trends.csv,search_frequency,37,
customer_feedback.csv,feedback_id,1,
customer_feedback.csv,category_name,Beverages,
customer_feedback.csv,customer_feedback,Energy drinks sell out too quickly on weekends.,
